train_loss,train_dtw,train_perceptual,train_acc,val_loss,val_dtw,val_perceptual,val_acc,epoch
4322.3232421875,4320.55859375,3.529505968093872,0.0,5920.283203125,5918.64794921875,3.27052640914917,0.14755845069885254,0
5085.9970703125,5084.5966796875,2.800400495529175,0.25,5539.62548828125,5538.2177734375,2.8161540031433105,0.19430845975875854,1
3592.840576171875,3591.396484375,2.8882532119750977,0.0,5243.02001953125,5241.76123046875,2.518296480178833,0.32977980375289917,2
3646.294189453125,3644.86865234375,2.8509812355041504,0.125,5052.162109375,5051.01953125,2.2842276096343994,0.3457089364528656,3
4616.62060546875,4615.6923828125,1.8565685749053955,0.5,4953.65185546875,4952.52197265625,2.25948429107666,0.3723289668560028,4
4136.8486328125,4135.5986328125,2.4998488426208496,0.25,4806.814453125,4805.763671875,2.1017699241638184,0.3948950469493866,5
5257.04638671875,5255.048828125,3.995462656021118,0.0,4564.564453125,4563.61669921875,1.8945165872573853,0.5354270935058594,6
4066.863525390625,4066.10498046875,1.5170843601226807,0.5,4750.87548828125,4749.90478515625,1.9402413368225098,0.47737613320350647,7
4053.220458984375,4052.016845703125,2.4072842597961426,0.25,4371.5830078125,4370.71923828125,1.727910041809082,0.49464020133018494,8
2875.59912109375,2874.831787109375,1.5345325469970703,0.5,4410.521484375,4409.67431640625,1.6938154697418213,0.4985000491142273,9
6317.88037109375,6315.77587890625,4.208732604980469,0.0,4502.2685546875,4501.39208984375,1.7514749765396118,0.5002193450927734,10
4525.1953125,4523.6064453125,3.1775479316711426,0.0,4016.077880859375,4015.33349609375,1.4891724586486816,0.6278032660484314,11
3931.798095703125,3930.80810546875,1.980142593383789,0.5,4590.04638671875,4589.10205078125,1.888814926147461,0.4796491265296936,12
3505.921630859375,3505.326416015625,1.1905642747879028,0.625,3872.54296875,3871.896728515625,1.2926994562149048,0.6052212715148926,13
4825.0966796875,4823.97705078125,2.2392630577087402,0.375,3644.98388671875,3644.375244140625,1.216858148574829,0.6583318710327148,14
2802.936767578125,2802.306640625,1.2604169845581055,0.5,3651.409912109375,3650.853271484375,1.1133307218551636,0.6701802015304565,15
2770.4375,2769.581298828125,1.712370753288269,0.25,3834.268798828125,3833.60400390625,1.3303258419036865,0.5870896577835083,16
2574.914794921875,2574.03955078125,1.7504531145095825,0.625,3795.768310546875,3795.0810546875,1.3744463920593262,0.6134939789772034,17
2993.950927734375,2993.3525390625,1.1968767642974854,0.75,3513.708984375,3513.156005859375,1.1062175035476685,0.6802776455879211,18
2656.714599609375,2656.1796875,1.0696158409118652,0.75,3676.590576171875,3675.966064453125,1.2484700679779053,0.6455907225608826,19
1840.82568359375,1840.39794921875,0.8555556535720825,0.75,3260.058349609375,3259.564697265625,0.9867202043533325,0.7168388366699219,20
2005.29736328125,2004.9354248046875,0.7239813804626465,0.75,3851.732666015625,3851.071533203125,1.3226373195648193,0.6413490176200867,21
3329.7119140625,3329.27490234375,0.8737986087799072,0.625,3053.659423828125,3053.2978515625,0.7227026224136353,0.8055980205535889,22
5204.74560546875,5203.0146484375,3.4617114067077637,0.25,3628.384765625,3627.722412109375,1.3251116275787354,0.5738866329193115,23
3466.301513671875,3465.19287109375,2.2174012660980225,0.25,3106.841552734375,3106.3642578125,0.9548963904380798,0.7508008480072021,24
2150.581787109375,2150.19384765625,0.7760127186775208,1.0,3245.230712890625,3244.744384765625,0.9726030826568604,0.811860203742981,25
2272.1533203125,2271.69091796875,0.9246699810028076,0.625,3310.21630859375,3309.716552734375,1.0001188516616821,0.7668930292129517,26
2839.820068359375,2839.086669921875,1.466663122177124,0.5,2874.919189453125,2874.553466796875,0.7306839823722839,0.7660841941833496,27
3325.178955078125,3324.6826171875,0.9928325414657593,0.75,3041.469482421875,3041.060302734375,0.8184272646903992,0.7799828052520752,28
3157.983154296875,3157.30810546875,1.3500447273254395,0.375,3498.9267578125,3498.369873046875,1.1144622564315796,0.6933366060256958,29
3257.050537109375,3256.56884765625,0.9634067416191101,0.75,3517.889404296875,3517.240234375,1.2981364727020264,0.6316760778427124,30
4191.0712890625,4190.44921875,1.2444853782653809,0.875,3330.2236328125,3329.68603515625,1.075577735900879,0.7103757262229919,31
2577.10986328125,2576.4501953125,1.3195710182189941,0.75,3256.1669921875,3255.7041015625,0.925312876701355,0.7540189623832703,32
3248.59814453125,3247.43603515625,2.3241968154907227,0.375,3416.51953125,3415.96923828125,1.1010634899139404,0.6649585962295532,33
4407.7373046875,4406.8447265625,1.785430669784546,0.625,2971.830810546875,2971.441650390625,0.7780560255050659,0.8292762637138367,34
1977.8446044921875,1977.612060546875,0.46496817469596863,1.0,2701.7578125,2701.4453125,0.6256524920463562,0.8330020308494568,35
1364.901611328125,1364.7276611328125,0.3478439152240753,0.875,2390.75341796875,2390.53857421875,0.4292590916156769,0.8186569809913635,36
1725.572021484375,1725.25244140625,0.6390556693077087,0.875,3318.47998046875,3317.888671875,1.1820791959762573,0.6943551898002625,37
4416.0810546875,4414.009765625,4.142531394958496,0.125,3435.805908203125,3435.233154296875,1.1459462642669678,0.6400980353355408,38
2915.944580078125,2914.75390625,2.3815343379974365,0.5,2663.70654296875,2663.366455078125,0.6793932318687439,0.8180468678474426,39
1454.6434326171875,1454.5928955078125,0.10116690397262573,1.0,2715.908935546875,2715.60009765625,0.6179863214492798,0.8371225595474243,40
2642.770751953125,2642.29150390625,0.9586484432220459,0.5,2571.86474609375,2571.579833984375,0.570044219493866,0.836830198764801,41
2455.907470703125,2455.286865234375,1.241418480873108,0.625,2463.194091796875,2462.96923828125,0.4495241940021515,0.853143036365509,42
2330.316650390625,2330.056884765625,0.5193449854850769,0.75,2670.4228515625,2670.107177734375,0.6312272548675537,0.8175915479660034,43
2814.430908203125,2813.827392578125,1.2070852518081665,0.75,2303.376220703125,2303.212890625,0.3264150023460388,0.9279876351356506,44
1936.7908935546875,1936.5953369140625,0.3911033868789673,0.75,2474.161865234375,2473.92138671875,0.48082631826400757,0.8754884004592896,45
1263.9896240234375,1263.81787109375,0.34350505471229553,0.875,2155.194580078125,2155.067138671875,0.25422441959381104,0.9320524334907532,46
1425.541015625,1425.3946533203125,0.2928021252155304,0.875,2254.895751953125,2254.739013671875,0.3133501410484314,0.8806186318397522,47
1776.7650146484375,1776.5224609375,0.4851517677307129,0.75,2228.841064453125,2228.68994140625,0.3023117184638977,0.8875982165336609,48
1063.37255859375,1063.3330078125,0.07909809052944183,1.0,2451.737548828125,2451.524658203125,0.425228476524353,0.8630644083023071,49
